"ID","F-number","JH-number","title","Dimensions","creator-place","creator-date","credits","details","rgb_img","bw_img","rgb_shape","bw_shape","heads","Head of a Woman","Head of a Man","Head of a Woman 1","Head of a Woman 2","Head of a Woman 3","Head of a Woman 4","Head of a Prostitute","Head of an Old Man","Torso of Venus","Torso of Venus 1","Torso of Venus 2","Torso of Venus 3","this torso of Venus","standing torso of Venus","Plaster Cast of a Womans Torso","Plaster Cast of a Womans Torso 1","Male Torso","portrait","still life","nude","cityscape","animal art","Horse","Kneeling Ecorche","Portrait of a Prostitute","Woman Sewing","The Potato Eaters","Letter from Vincent van Gogh to Theo van Gogh with sketches of Head of a Woman and Head of a Woman","Van Gogh wrote","he wrote","drew","complementary colours","which he painted a number of times","He would use this technique more than once in his later work","1881","1884","1885","1886","1887","1890","Nuenen","Antwerp","Paris","self-portrait","artists portrait","Vincent van Gogh","Self-Portrait or Portrait of Theo van Gogh","Self-Portrait with Straw Hat and Pipe","Self-Portrait as a Painter","Self-Portrait with Straw Hat","Self-Portrait","Self-Portrait 1","Self-Portrait 2","Portrait of Pere Tanguy","Portrait of a Woman","Portrait of a Woman 1","Seated Zouave","Seated Girl Seen from the Front","Two Manzai Dancers and Kite Flying Women and Children at the New Year","The Potato Eaters 1","The Potato Eaters (#1)","Study for The Potato Eaters","Studies of the Interior of a Cottage, and a Sketch of The Potato Eaters","Four People Sharing a Meal","Undergrowth","Undergrowth 1","Trees and Undergrowth","Dish with Citrus Fruit","Still Life with Earthenware and Bottles","Skull","Apples","Grapes","Beer Tankards","Basket of Potatoes","Basket of Potatoes 1","Baskets of Potatoes","Basket of Apples","Basket of Apples 1","Basket of Apples 2","Impasse des Deux Freres","Flame Nettle in a Flowerpot","Small Bottle with Peonies and Blue Delphiniums","Basket of Hyacinth Bulbs","Glass with Yellow Roses","Carafe and Dish with Citrus Fruit","figure (representation)","landscape (representation)","genre picture","peasant life","interior scene","street scene","townscape","river landscape","cafe scene","seascape","coastal landscape","marine","history (visual work)","study","religion","New Print of Insects and Small Creatures","Letter from Vincent van Gogh to Theo van Gogh with sketch of The Reformed Church in Nuenen","Letter from Vincent van Gogh to Theo van Gogh with sketches of The Potato Eaters, Man and a Woman Planting Potatoes and Two Women Working in the Fields","Letter from Vincent van Gogh to Theo van Gogh with sketches of Three Orchards and Small Pear Tree in Blossom","Three Novels","Auvers-sur-Oise","Saint-Remy-de-Provence","Arles","The Hague","Nieuw Amsterdam","Amsterdam","Drenthe","Square Saint-Pierre at Sunset","The Hill of Montmartre with Stone Quarry","The Hill of Montmartre with Stone Quarry 1","View of Paris with Notre-Dame and the Pantheon","View of Paris with the Hotel de Ville and the Tour Saint-Jacques","View of Paris with the Opera","Entrance to the Moulin de la Galette","Gardens on Montmartre and the Blute-Fin Windmill","The Labours of the Fields","Montmartre: Windmills and Allotments","View from the Apartment in the Rue Lepic","The Boulevard de Clichy","Garden with Courting Couples: Square Saint-Pierre","Water Hyacinth, Sandpiper and Kingfisher, from the album New Selection of Birds and Flowers","Sudden Evening Shower on the Great Bridge near Atake, from the series One Hundred Views of Famous Places in Edo","The Residence with Plum Trees at Kameido, from the series One Hundred Views of Famous Places in Edo","Tracing of The Plum Tree Teahouse at Kameido of Hiroshige","Tracing of the Cover of Paris Illustre. Le Japon","Burning Weeds","1882","1883","1888","1889"
"s0005V1962","F0082","JH0764","the potato eaters","82 cm x 114 cm, 100 cm x 133 cm","nuenen","april-may 1885","van gogh museum, amsterdam (vincent van gogh foundation)","oil on canvas","Data\Img\s0005V1962\vangoghmuseum-s0005V1962-800-rgb.jpg","Data\Img\s0005V1962\vangoghmuseum-s0005V1962-800-bw.jpg","[564, 800, 3]","[564, 800]","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?date=1885","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?place=nuenen","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection/p0016v1962","https://vangoghmuseum.nl/en/collection/s0135v1962r","https://vangoghmuseum.nl/en/collection/d0389v1962v","https://vangoghmuseum.nl/en/collection/d0388v1962r","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=genre picture","https://vangoghmuseum.nl/en/collection?genre=peasant life","https://vangoghmuseum.nl/en/collection?genre=interior scene","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection/ba0008","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0019V1962","F0314","JH1258","garden with courting couples: square saint-pierre","75.0 cm x 113.0 cm, 95.0 cm x 132.4 cm","paris","may 1887","van gogh museum, amsterdam (vincent van gogh foundation)","oil on canvas","Data\Img\s0019V1962\vangoghmuseum-s0019V1962-800-rgb.jpg","Data\Img\s0019V1962\vangoghmuseum-s0019V1962-800-bw.jpg","[537, 800, 3]","[537, 800]","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=cityscape","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?date=1887","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?place=paris","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=genre picture","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=street scene","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection/s0098v1962","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0022V1962","F0522","JH1356","self-portrait as a painter","65.1 cm x 50 cm, 86 cm x 71 cm","paris","december 1887-february 1888","van gogh museum, amsterdam (vincent van gogh foundation)","oil on canvas","Data\Img\s0022V1962\vangoghmuseum-s0022V1962-800-rgb.jpg","Data\Img\s0022V1962\vangoghmuseum-s0022V1962-800-bw.jpg","[800, 608, 3]","[800, 608]","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=portrait","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?date=1887","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?place=paris","https://vangoghmuseum.nl/en/collection?genre=self-portrait","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?date=1888","localhost"
"s0027V1962","F0400","JH1371","the langlois bridge","59.6 cm x 73.6 cm, 77.1 cm x 91.0 cm","arles","march 1888","van gogh museum, amsterdam (vincent van gogh foundation)","oil on canvas","Data\Img\s0027V1962\vangoghmuseum-s0027V1962-800-rgb.jpg","Data\Img\s0027V1962\vangoghmuseum-s0027V1962-800-bw.jpg","[651, 800, 3]","[651, 800]","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=landscape (representation)","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=townscape","https://vangoghmuseum.nl/en/collection?genre=river landscape","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?place=arles","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?date=1888","localhost"
"s0029V1962","F0451","JH1629","the sower","32.5 cm x 40.3 cm, 58.5 cm x 56.5 cm","arles","november 1888","van gogh museum, amsterdam (vincent van gogh foundation)","oil on canvas","Data\Img\s0029V1962\vangoghmuseum-s0029V1962-800-rgb.jpg","Data\Img\s0029V1962\vangoghmuseum-s0029V1962-800-bw.jpg","[643, 800, 3]","[643, 800]","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=landscape (representation)","https://vangoghmuseum.nl/en/collection?genre=genre picture","https://vangoghmuseum.nl/en/collection?genre=peasant life","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?place=arles","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?date=1888","localhost"
"s0031V1962","F0458","JH1667","sunflowers","95 cm x 73 cm, 123.6 cm x 101.2 cm","arles","january 1889","van gogh museum, amsterdam (vincent van gogh foundation)","oil on canvas","Data\Img\s0031V1962\vangoghmuseum-s0031V1962-800-rgb.jpg","Data\Img\s0031V1962\vangoghmuseum-s0031V1962-800-bw.jpg","[800, 609, 3]","[800, 609]","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=still life","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","http://www.vangoghletters.org/vg/letters/let740/letter.html","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?place=arles","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?date=1889"
"s0032V1962","F0464","JH1589","the yellow house (the street)","72 cm x 91.5 cm, 89.8 cm x 109.2 cm","arles","september 1888","van gogh museum, amsterdam (vincent van gogh foundation)","oil on canvas","Data\Img\s0032V1962\vangoghmuseum-s0032V1962-800-rgb.jpg","Data\Img\s0032V1962\vangoghmuseum-s0032V1962-800-bw.jpg","[627, 800, 3]","[627, 800]","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=cityscape","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=genre picture","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=street scene","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?place=arles","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?date=1888","localhost"
"s0047V1962","F0482","JH1608","the bedroom","72.4 cm x 91.3 cm, 92.2 cm x 111 cm","arles","october 1888","van gogh museum, amsterdam (vincent van gogh foundation)","oil on canvas","Data\Img\s0047V1962\vangoghmuseum-s0047V1962-800-rgb.jpg","Data\Img\s0047V1962\vangoghmuseum-s0047V1962-800-bw.jpg","[634, 800, 3]","[634, 800]","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=still life","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?place=arles","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?date=1888","localhost"
"s0049V1962","F0618","JH1773","wheatfield with a reaper","73.2 cm x 92.7 cm, 97.0 cm x 116.7 cm","saint-remy-de-provence","september 1889","van gogh museum, amsterdam (vincent van gogh foundation)","oil on canvas","Data\Img\s0049V1962\vangoghmuseum-s0049V1962-800-rgb.jpg","Data\Img\s0049V1962\vangoghmuseum-s0049V1962-800-bw.jpg","[632, 800, 3]","[632, 800]","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=landscape (representation)","https://vangoghmuseum.nl/en/collection?genre=genre picture","https://vangoghmuseum.nl/en/collection?genre=peasant life","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?place=saint-rémy-de-provence","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?date=1889"
"s0050V1962","F0678","JH1977","irises","92.7 cm x 73.9 cm, 111.5 cm x 92.9 cm","saint-remy-de-provence","may 1890","van gogh museum, amsterdam (vincent van gogh foundation)","oil on canvas","Data\Img\s0050V1962\vangoghmuseum-s0050V1962-800-rgb.jpg","Data\Img\s0050V1962\vangoghmuseum-s0050V1962-800-bw.jpg","[800, 632, 3]","[800, 632]","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=still life","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?date=1890","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?place=saint-rémy-de-provence","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
