"ID","CORE_TEXT","EXT_TEXT","he wrote","Van Gogh wrote","complementary colours","The Potato Eaters","this torso of Venus","drew","standing torso of Venus","which he painted a number of times","He would use this technique more than once in his later work","Head of a Woman","Head of a Man","Head of a Woman 1","Head of a Woman 2","Head of a Woman 3","Torso of Venus","Horse","Torso of Venus 1","Male Torso","Kneeling Ecorche","Torso of Venus 2","Portrait of a Prostitute","Head of an Old Man","Head of a Woman 4","Plaster Cast of a Womans Torso","Plaster Cast of a Womans Torso 1","Torso of Venus 3","Woman Sewing","Letter from Vincent van Gogh to Theo van Gogh with sketches of Head of a Woman and Head of a Woman","Head of a Prostitute","1885","Nuenen","painting","1887","Paris","cityscape","portrait","landscape representation","still life","1890","AuverssurOise","animal art","drawing","1884","study","figure representation","heads","Antwerp","1886","nude","1881","Brussels"
"s0005V1962","The Potato Eaters oil on canvas 82 cm x 114 cm Van Gogh saw the Potato Eaters as a showpiece for which he deliberately chose a difficult composition to prove he was on his way to becoming a good figure painter The painting had to depict the harsh reality of country life so he gave the peasants coarse faces and bony working hands He wanted to show in this way that they have tilled the earth themselves with these hands they are putting in the dish that they have thus honestly earned their food NoneNone He painted the five figures in earth colourssomething like the colour of a really dusty potato unpeeled of course The message of the painting was more important to Van Gogh than correct anatomy or technical perfection He was very pleased with the result yet his painting drew considerable criticism because its colours were so dark and the figures full of mistakes Nowadays the Potato Eaters is one of Van Goghs most famous works","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation Sent by the artist to his brother Theo van Gogh Paris at the beginning of May 1885 after Theos death on 25 January 1891 inherited by his widow Jo van GoghBonger and their son Vincent Willem van Gogh Paris administered until her death on 2 September 1925 by Jo van GoghBonger BussumAmsterdamLaren transferred by Vincent Willem van Gogh Laren on 10 July 1962 to the Vincent van Gogh Foundation Amsterdam agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands in which the preservation and management of the collection and its placing in the Rijksmuseum Vincent van Gogh to be realized in Amsterdam is entrusted to the State given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum Amsterdam on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0019V1962","Garden with Courting Couples Square SaintPierre oil on canvas 750 cm x 1130 cm Van Gogh called this sunny park scene the painting of the garden with lovers Couples in love are strolling under the young chestnut trees and sitting along the winding pathsNoneNoneHe used a free variation on the technique of the Pointillists They built up their compositions from dots of paint Van Gogh instead applied small brushstrokes of varying length in different directions This helped him to create the effect of a radiant spring day which fit the sense of intimacy and togetherness he wished to express He too longed for a wife and a family but he had the most impossible love affairs He eventually resigned himself to the situation he was devoted to his art","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation Left by the artist at the apartment of his brother Theo van Gogh Paris in the second half of May 1887 after Theos death on 25 January 1891 inherited by his widow Jo van GoghBonger and their son Vincent Willem van Gogh Paris administered until her death on 2 September 1925 by Jo van GoghBonger BussumAmsterdamLaren given on loan by Vincent Willem van Gogh Laren to the Rijksmuseum Amsterdam from 1927 to 1930 given on loan by Vincent Willem van Gogh to the Stedelijk Museum Amsterdam since 22 October 1931 donated by Vincent Willem van Gogh on 11 March 1952 to the 1st Vincent van Gogh Foundation Laren transferred on 28 December 1960 by the 1st Vincent van Gogh Foundation to the Theo van Gogh Foundation Larenagreement concluded on 21 July 1962 between the 2nd Vincent van Gogh Foundation Amsterdam and the State of the Netherlands in which the preservation and management of the collection and its placing in the Rijksmuseum Vincent van Gogh to be realized in Amsterdam is entrusted to the State donated on 21 July 1962 by the Theo van Gogh Foundation to the Vincent van Gogh Foundation given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum Amsterdam on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","https://vangoghmuseum.nl/en/collection?Date=1887","https://vangoghmuseum.nl/en/collection?Place=Paris","https://vangoghmuseum.nl/en/collection?Genre=cityscape","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0022V1962","SelfPortrait as a Painter oil on canvas 651 cm x 50 cm Van Gogh presented himself in this selfportrait as a painter holding a palette and paintbrushes behind his easel He showed that he was a modern artist by using a new painting style with bright almost unblended colours The palette contains the complementary colour pairs redgreen yellowpurple and blueorangeprecisely the colours Van Gogh used for this painting He laid these pairs down side by side to intensify one another the blue of his smock for instance and the orangered of his beardNoneNoneSelfPortrait as a Painter was the last work Van Gogh produced in Paris the city had exhausted him both mentally and physically He told his sister Wil how he had portrayed himself wrinkles in forehead and around the mouth stiffly wooden a very red beard quite unkempt and sad","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation Left by the artist at the apartment of his brother Theo van Gogh Paris somewhere between December 1887 and February 1888 after Theos death on 25 January 1891 inherited by his widow Jo van GoghBonger and their son Vincent Willem van Gogh Paris administered until her death on 2 September 1925 by Jo van GoghBonger BussumAmsterdamLaren 1909 given on loan by Jo van GoghBonger to the Rijksmuseum Amsterdam given on loan by Vincent Willem van Gogh Laren to the Rijksmuseum Amsterdam from 1927 to 1930 given on loan by Vincent Willem van Gogh to the Stedelijk Museum Amsterdam since 22 October 1931 donated by Vincent Willem van Gogh on 11 March 1952 to the 1st Vincent van Gogh Foundation Laren transferred on 28 December 1960 by the 1st Vincent van Gogh Foundation to the Theo van Gogh Foundation Larenagreement concluded on 21 July 1962 between the 2nd Vincent van Gogh Foundation Amsterdam and the State of the Netherlands in which the preservation and management of the collection and its placing in the Rijksmuseum Vincent van Gogh to be realized in Amsterdam is entrusted to the State donated on 21 July 1962 by the Theo van Gogh Foundation to the Vincent van Gogh Foundation given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum Amsterdam on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","https://vangoghmuseum.nl/en/collection?Date=1887","https://vangoghmuseum.nl/en/collection?Place=Paris","localhost","https://vangoghmuseum.nl/en/collection?Genre=portrait","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0027V1962","The Langlois Bridge oil on canvas 596 cm x 736 cm The sky was grey when Van Gogh painted this bridge He worked in the open air more than once in this spot in the southern French city of Arles Laundry was done in this canal and linens have been laid out to bleach on the far bank All that is missing are the washerwomenwho were included in an earlier versionNoneNoneVan Gogh carefully organised his composition He chose a place for his easel where he could paint the patch of land with the road in the foreground as a large diagonal leading into the left background He had seen diagonals of this kind used in Japanese prints Vincent and his brother Theo had accumulated a joint collection of these prints in Paris","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation Sent by the artist from Arles to his brother Theo van Gogh Paris at the beginning of May 1888 after Theos death on 25 January 1891 inherited by his widow Jo van GoghBonger and their son Vincent Willem van Gogh Paris administered until her death on 2 September 1925 by Jo van GoghBonger BussumAmsterdamLaren given on loan by Vincent Willem van Gogh Laren to the Stedelijk Museum Amsterdam since 22 October 1931 transferred by Vincent Willem van Gogh on 10 July 1962 to the Vincent van Gogh Foundation Amsterdam agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands in which the preservation and management of the collection and its placing in the Rijksmuseum Vincent van Gogh to be realized in Amsterdam is entrusted to the State given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum Amsterdam on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=landscape (representation)","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0029V1962","The Sower oil on canvas 325 cm x 403 cm Van Gogh had a special interest in sowers throughout his artistic career All in all he made more than 30 drawings and paintings on this theme He painted this sower in the autumn of 1888 At the time Van Gogh was working together with Paul Gauguin 18481903 Gauguin believed that in his work Van Gogh should draw less on reality and more on his imaginationNoneNoneHere Van Gogh used colours meant to express emotion and passion He assigned the leading roles to the greenishyellow of the sky and the purple of the field The bright yellow sun looks like a halo turning the sower into a saint","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation With his brother Theo van Gogh Paris after May 1889 after Theos death on 25 January 1891 inherited by his widow Jo van GoghBonger and their son Vincent Willem van Gogh Paris administered until her death on 2 September 1925 by Jo van GoghBonger BussumAmsterdamLaren given on loan by Vincent Willem van Gogh Laren to the Stedelijk Museum Amsterdam since 22 October 1931 transferred by Vincent Willem van Gogh on 10 July 1962 to the Vincent van Gogh Foundation Amsterdam agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands in which the preservation and management of the collection and its placing in the Rijksmuseum Vincent van Gogh to be realized in Amsterdam is entrusted to the State given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum Amsterdam on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=landscape (representation)","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0031V1962","Sunflowers oil on canvas 95 cm x 73 cm Van Goghs paintings of Sunflowers are among his most famous He did them in Arles in the south of France in 1888 and 1889 Vincent painted a total of five large canvases with sunflowers in a vase with three shades of yellow and nothing else In this way he demonstrated that it was possible to create an image with numerous variations of a single colour without any loss of eloquenceNoneNoneThe sunflower paintings had a special significance for Van Gogh they communicated gratitude he wrote He hung the first two in the room of his friend the painter Paul Gauguin who came to live with him for a while in the Yellow House Gauguin was impressed by the sunflowers which he thought were completely Vincent Van Gogh had already painted a new version during his friends stay and Gauguin later asked for one as a gift which Vincent was reluctant to give him He later produced two loose copies however one of which is now in the Van Gogh Museum","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation Sent by the artist from Arles to his brother Theo van Gogh Paris at the end of April 1889 after Theos death on 25 January 1891 inherited by his widow Jo van GoghBonger and their son Vincent Willem van Gogh Paris administered until her death on 2 September 1925 by Jo van GoghBonger BussumAmsterdamLaren given on loan by Jo van GoghBonger to the Rijksmuseum Amsterdam from 1917 to 1919 transferred by Vincent Willem van Gogh Laren on 10 July 1962 to the Vincent van Gogh Foundation Amsterdam agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands in which the preservation and management of the collection and its placing in the Rijksmuseum Vincent van Gogh to be realized in Amsterdam is entrusted to the State given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum Amsterdam on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum Amsterdam since 1 July 1994","http://www.vangoghletters.org/vg/letters/let740/letter.html","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=still life","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0032V1962","The Yellow House The Street oil on canvas 72 cm x 915 cm In May 1888 Van Gogh rented four rooms in a house on Place Lamartine in Arles southern France The green shutters in this painting of the square show where he lived Shortly after moving into the Yellow House he sent Theo a description and sketch of his painting of it its tremendous these yellow houses in the sunlight and then the incomparable freshness of the blueNoneNoneThe work which Van Gogh himself called The Street records the artists immediate surroundings he often ate at the restaurant on the left and the home of his friend the postman Joseph Roulin lay just beyond the second railway bridgeNoneNoneVincent had finally found a place at the Yellow House where he could not only paint but also have his friends come to stay His plan was to turn the yellow cornerbuilding into an artists house where likeminded painters could live and work together","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation With his brother Theo van Gogh Paris after the end of September 1888 after Theos death on 25 January 1891 inherited by his widow Jo van GoghBonger and their son Vincent Willem van Gogh Paris administered until her death on 2 September 1925 by Jo van GoghBonger BussumAmsterdamLaren transferred by Vincent Willem van Gogh Laren on 10 July 1962 to the Vincent van Gogh Foundation Amsterdam agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands in which the preservation and management of the collection and its placing in the Rijksmuseum Vincent van Gogh to be realized in Amsterdam is entrusted to the State given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum Amsterdam on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=cityscape","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0047V1962","The Bedroom oil on canvas 724 cm x 913 cm While he was in Arles Van Gogh made this painting of his bedroom in the Yellow House He prepared the room himself with simple furniture and with his own work on the wall The bright colours were meant to express absolute repose or sleep Research shows that the strongly contrasting colours we see in the work today are the result of discolouration over the years The walls and doors for instance were originally purple rather than blue The apparently odd angle of the rear wall meanwhile is not a mistake on Van Goghs partthe corner really was skewed The rules of perspective seem not to have been accurately applied throughout the painting but this was a deliberate choice Vincent told Theo in a letter that he had deliberately flattened the interior and left out the shadows so that his picture would resemble a Japanese print Van Gogh was very pleased with the painting When I saw my canvases again after my illness what seemed to me the best was the bedroom","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation Sent by the artist from Arles to his brother Theo van Gogh Paris at the end of April 1889 after Theos death on 25 January 1891 inherited by his widow Jo van GoghBonger and their son Vincent Willem van Gogh Paris administered until her death on 2 September 1925 by Jo van GoghBonger BussumAmsterdamLaren given on loan by Jo van GoghBonger to the Rijksmuseum Amsterdam from 1917 to 1919 given on loan by Vincent Willem van Gogh Laren to the Rijksmuseum Amsterdam from 1927 to 1930 given on loan by Vincent Willem van Gogh to the Stedelijk Museum Amsterdam since 22 October 1931 transferred by Vincent Willem van Gogh on 10 July 1962 to the Vincent van Gogh Foundation Amsterdam agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands in which the preservation and management of the collection and its placing in the Rijksmuseum Vincent van Gogh to be realized in Amsterdam is entrusted to the State given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum Amsterdam on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=still life","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0049V1962","Wheatfield with a Reaper oil on canvas 732 cm x 927 cm Van Gogh painted this walled field from his hospital room For the first few months that he was there he was not allowed to leave the groundsNoneNoneThe reaper labours in the heat of the sun The wheat painted with thick gobs of yellow undulates around him For Van Gogh wheat was a symbol of the eternal cycle of nature and the transience of life He saw the reaper as the image of death in this sense that humanity would be the wheat being reapedNoneNoneHe added however that this death was almost smiling Its all yellow except for a line of violet hillsa pale blond yellow I myself find that funny that I saw it like that through the iron bars of a cell","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation Sent by the artist from SaintRemydeProvence to his brother Theo van Gogh Paris September 1889 after Theos death on 25 January 1891 inherited by his widow Jo van GoghBonger and their son Vincent Willem van Gogh Paris administered until her death on 2 September 1925 by Jo van GoghBonger BussumAmsterdamLaren 1909 given on loan by Jo van GoghBonger to the Rijksmuseum Amsterdam given on loan by Vincent Willem van Gogh Laren to the Rijksmuseum Amsterdam from 1927 to 1930 given on loan by Vincent Willem van Gogh to the Stedelijk Museum Amsterdam since 22 October 1931 transferred by Vincent Willem van Gogh on 10 July 1962 to the Vincent van Gogh Foundation Amsterdam agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands in which the preservation and management of the collection and its placing in the Rijksmuseum Vincent van Gogh to be realized in Amsterdam is entrusted to the State given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum Amsterdam on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=landscape (representation)","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0050V1962","Irises oil on canvas 927 cm x 739 cm Van Gogh painted this still life in the psychiatric hospital in SaintRemy For him the painting was mainly a study in colour He set out to achieve a powerful colour contrast By placing the purple flowers against a yellow background he made the decorative forms stand out even more strongly The irises were originally purple But as the red pigment has faded they have turned blue Van Gogh made two paintings of this bouquet In the other still life he contrasted purple and pink with green","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation With his brother Theo van Gogh Paris after the end of June 1890 after Theos death on 25 January 1891 inherited by his widow Jo van GoghBonger and their son Vincent Willem van Gogh Paris administered until her death on 2 September 1925 by Jo van GoghBonger BussumAmsterdamLaren given on loan by Jo van GoghBonger to the Rijksmuseum Amsterdam from 1917 to 1919 given on loan by Vincent Willem van Gogh Laren to the Rijksmuseum Amsterdam from 1927 to 1930 given on loan by Vincent Willem van Gogh to the Stedelijk Museum Amsterdam since 22 October 1931 transferred by Vincent Willem van Gogh on 10 July 1962 to the Vincent van Gogh Foundation Amsterdam agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands in which the preservation and management of the collection and its placing in the Rijksmuseum Vincent van Gogh to be realized in Amsterdam is entrusted to the State given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum Amsterdam on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=still life","https://vangoghmuseum.nl/en/collection?Date=1890","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
